step,loss,data_loss,pde_loss,continuity_loss
1,0.1919180452823639,0.1919180452823639,0.0,0.0
250,9.332867193734273e-06,9.332867193734273e-06,0.0,0.0
500,2.4679000034666387e-06,2.4679000034666387e-06,0.0,0.0
750,1.3474380011757603e-06,1.3474380011757603e-06,0.0,0.0
1000,6.901693154759414e-07,6.901693154759414e-07,0.0,0.0
1250,4.062214429723099e-06,4.062214429723099e-06,0.0,0.0
1500,1.132445231633028e-05,1.132445231633028e-05,0.0,0.0
1750,1.1432198334659915e-05,1.1432198334659915e-05,0.0,0.0
2000,2.2979307686910033e-05,2.2979307686910033e-05,0.0,0.0
2250,2.1482624106283765e-06,2.1482624106283765e-06,0.0,0.0
2500,8.47913725010585e-06,8.47913725010585e-06,0.0,0.0
2750,3.3301619168923935e-06,3.3301619168923935e-06,0.0,0.0
3000,2.5343756533402484e-06,2.5343756533402484e-06,0.0,0.0
