step,loss,data_loss,pde_loss,continuity_loss,lambda_1,lambda_2,pde_warmup
1,0.3185606300830841,0.3185601234436035,0.00010152182949241251,1.0728820143413031e-06,0.4999999701976776,0.019999997690320015,0.005
250,0.09029325097799301,0.07266895473003387,0.01717149093747139,0.00045281180064193904,0.3854498863220215,0.015349073335528374,1.0
500,0.04301382601261139,0.03336433321237564,0.00861749704927206,0.0010319965658709407,0.332785040140152,0.013017094694077969,1.0
750,0.018704239279031754,0.012968257069587708,0.0045606279745697975,0.0011753556318581104,0.38936078548431396,0.011846252717077732,1.0
1000,0.011237847618758678,0.007107270881533623,0.0024996919091790915,0.0016308845952153206,0.45854610204696655,0.011035806499421597,1.0
1250,0.0091510359197855,0.005139063112437725,0.002210054313763976,0.0018019186099991202,0.5252986550331116,0.010468906722962856,1.0
1500,0.006061002612113953,0.003110539633780718,0.0014874726766720414,0.0014629904180765152,0.5929775834083557,0.010058239102363586,1.0
1750,0.005388940684497356,0.002614957746118307,0.0015454345848411322,0.0012285487027838826,0.660797655582428,0.009729988873004913,1.0
2000,0.005201159510761499,0.002686236286535859,0.0016261062119156122,0.0008888170123100281,0.7249593734741211,0.009458370506763458,1.0
2250,0.004974707495421171,0.002369087189435959,0.0014432806055992842,0.00116233981680125,0.7827215194702148,0.009228754788637161,1.0
2500,0.0032298245932906866,0.0012519767042249441,0.0013215297367423773,0.0006563182105310261,0.8314661383628845,0.009054307825863361,1.0
2750,0.002674803603440523,0.001173257827758789,0.001082009170204401,0.0004195367218926549,0.8722249269485474,0.00890474021434784,1.0
3000,0.001926782657392323,0.0007538290228694677,0.000857016711961478,0.00031593689345754683,0.9043666124343872,0.008803825825452805,1.0
