step,loss,data_loss,pde_loss,continuity_loss,lambda_1,lambda_2,pde_warmup
1,0.32013776898384094,0.3201371431350708,0.0001229280314873904,1.0901984524025465e-06,0.4999999701976776,0.019999997690320015,0.005
250,0.08668965101242065,0.07228954881429672,0.013745816424489021,0.000654286821372807,0.3813638389110565,0.015866905450820923,1.0
500,0.030156046152114868,0.02202221192419529,0.007340322248637676,0.0007935133180581033,0.36281973123550415,0.013177893124520779,1.0
750,0.014574369415640831,0.00878890510648489,0.00440952368080616,0.0013759410940110683,0.42310377955436707,0.01238875649869442,1.0
1000,0.00948278233408928,0.005389331839978695,0.002424274105578661,0.0016691755736246705,0.4783429503440857,0.011712774634361267,1.0
1250,0.006853337399661541,0.003662874223664403,0.0015723946271464229,0.0016180685488507152,0.5313054919242859,0.011087180115282536,1.0
1500,0.005158738233149052,0.002368668094277382,0.0013126928824931383,0.0014773774892091751,0.5848004221916199,0.010544434189796448,1.0
1750,0.0038110341411083937,0.001776397693902254,0.000984878744930029,0.0010497577022761106,0.6404715180397034,0.010081726126372814,1.0
2000,0.0032163180876523256,0.001444161986000836,0.0009761851979419589,0.0007959709619171917,0.6971142888069153,0.009691653773188591,1.0
2250,0.003505128435790539,0.0015906773041933775,0.0012236982583999634,0.0006907527567818761,0.7523090243339539,0.009370354935526848,1.0
2500,0.002421584213152528,0.0010856969747692347,0.0008580724825151265,0.00047781472676433623,0.8036061525344849,0.00908366683870554,1.0
2750,0.0042276931926608086,0.0017747996607795358,0.0020951428450644016,0.00035775068681687117,0.8487921953201294,0.008824254386126995,1.0
3000,0.0014664250193163753,0.0005932092317380011,0.0005927704041823745,0.0002804452960845083,0.8845688700675964,0.00858699344098568,1.0
