step,loss,data_loss,pde_loss,continuity_loss,lambda_1,lambda_2,pde_warmup
1,0.3188258409500122,0.318825364112854,9.730816236697137e-05,9.983555173675995e-07,0.4999999701976776,0.019999997690320015,0.005
250,0.08535149693489075,0.07066762447357178,0.014045595191419125,0.0006382734281942248,0.3843066394329071,0.014611022546887398,1.0
500,0.04581291973590851,0.032045960426330566,0.013115711510181427,0.0006512476829811931,0.3315412998199463,0.012315054424107075,1.0
750,0.020106114447116852,0.014796190895140171,0.0046825045719742775,0.0006274195620790124,0.39365455508232117,0.011074664071202278,1.0
1000,0.013133424334228039,0.009506681933999062,0.0025415446143597364,0.0010851979022845626,0.4773564338684082,0.0102692237123847,1.0
1250,0.00804571807384491,0.005219538230448961,0.0017529139295220375,0.0010732654482126236,0.5648383498191833,0.009687111712992191,1.0
1500,0.005802725441753864,0.0032137809321284294,0.0015994046116247773,0.0009895400144159794,0.6500226855278015,0.009341314435005188,1.0
1750,0.00411522900685668,0.0020809457637369633,0.0013848172966390848,0.0006494660628959537,0.7285000085830688,0.009105514734983444,1.0
2000,0.0026049523148685694,0.0012174369767308235,0.0009276530472561717,0.0004598621162585914,0.796025812625885,0.008929051458835602,1.0
2250,0.002444743411615491,0.0011971431085839868,0.0009223367087543011,0.0003252637689001858,0.8519552946090698,0.008750734850764275,1.0
2500,0.0012755213538184762,0.000471349194413051,0.0005769428098574281,0.00022722932044416666,0.8951213359832764,0.008596750907599926,1.0
2750,0.0011309380643069744,0.0004011484852526337,0.0005269206594675779,0.00020286889048293233,0.9263943433761597,0.008434793911874294,1.0
3000,0.003656323067843914,0.001522636623121798,0.001686986070126295,0.0004467005783226341,0.9483176469802856,0.008294028230011463,1.0
