step,loss,data_loss,pde_loss,continuity_loss,lambda_1,lambda_2,pde_warmup
1,0.31080302596092224,0.3108019530773163,0.00021040611318312585,3.5070825106231496e-06,0.4999999701976776,0.019999997690320015,0.005
250,0.258466899394989,0.24814248085021973,0.008419401943683624,0.0019050303380936384,0.5672166347503662,0.013345491141080856,1.0
500,0.2337326556444168,0.22690822184085846,0.003745906287804246,0.0030785163398832083,0.3903881907463074,0.00987295899540186,1.0
750,0.2142697423696518,0.20751819014549255,0.002474192064255476,0.004277368076145649,0.3060325086116791,0.007853404618799686,1.0
1000,0.21304677426815033,0.19244195520877838,0.0154363252222538,0.00516850408166647,0.26164403557777405,0.006956958677619696,1.0
1250,0.19169209897518158,0.18335993587970734,0.004511989187449217,0.0038201811257749796,0.23910771310329437,0.006588746793568134,1.0
1500,0.19274434447288513,0.1656690537929535,0.023019198328256607,0.004056097939610481,0.21087661385536194,0.00640594819560647,1.0
1750,0.13483864068984985,0.1245424821972847,0.005531991366297007,0.004764167126268148,0.19303008913993835,0.0063699521124362946,1.0
2000,0.12387792766094208,0.11536543816328049,0.005137120373547077,0.003375367261469364,0.17908915877342224,0.0063577801920473576,1.0
2250,0.12573879957199097,0.08995631337165833,0.03275437653064728,0.003028116188943386,0.17342248558998108,0.006347483489662409,1.0
2500,0.07358402013778687,0.06566941738128662,0.006274785380810499,0.0016398243606090546,0.16944707930088043,0.006366292480379343,1.0
2750,0.08160083740949631,0.05228155478835106,0.027538135647773743,0.0017811466241255403,0.16548439860343933,0.006346288602799177,1.0
3000,0.043933067470788956,0.03611885383725166,0.006788899190723896,0.0010253152577206492,0.16326802968978882,0.0063276225700974464,1.0
