continuity_mse,lambda_1,lambda_1_abs_error,lambda_2,lambda_2_abs_error,model,n_obs,noise_std,pde_residual_mse,peak_gpu_mb,rel_l2_p,rel_l2_u,rel_l2_v,run_name,steps,train_seconds,train_t_max
0.006937707774341106,0.008749564178287983,0.991250435821712,0.0038751245010644197,0.0061248754989355805,deep_fcn,3000,0.0,0.0028377934359014034,81.9951171875,0.9923411011695862,0.3680933117866516,0.3401634991168976,arch_deep_fcn,800,16.1720838000183,1.0
0.001796757453121245,0.03661733493208885,0.9633826650679111,0.007309928070753813,0.0026900719292461874,fcn,3000,0.0,0.0026454911567270756,57.80322265625,0.9760086536407471,0.2811322808265686,0.27800339460372925,arch_fcn,800,11.642686799983494,1.0
,,,,,fno,3000,0.0,,28.24951171875,0.066983662545681,0.053776971995830536,0.052437860518693924,arch_fno,800,4.529395099991234,1.0
2.16365378946648e-06,0.49278220534324646,0.5072177946567535,0.0014072643825784326,0.008592735617421568,fourier,3000,0.0,5.5312943914032076e-06,80.4599609375,1.0011578798294067,1.0000348091125488,1.000089168548584,arch_fourier,800,19.662936900014756,1.0
0.00019539849017746747,0.2648678421974182,0.7351321578025818,0.0033398126251995564,0.006660187374800444,residual,3000,0.0,0.0006450949003919959,57.80322265625,0.7157864570617676,0.10341749340295792,0.10121488571166992,arch_residual,800,11.680136100010714,1.0
6.00193977355957,0.08148478716611862,0.9185152128338814,-0.00015820363478269428,0.010158203634782694,siren,3000,0.0,0.8072527647018433,66.74072265625,1.0010753870010376,0.5385683178901672,0.5237740874290466,arch_siren,800,13.25812459998997,1.0
0.003556152805685997,0.07233733683824539,0.9276626631617546,0.012859462760388851,0.002859462760388851,fcn,2500,0.0,0.003729200456291437,57.79150390625,0.9832978248596191,0.4043491780757904,0.40441998839378357,data_fcn_n2500,500,7.057485199999064,1.0
0.0024315733462572098,0.06095714867115021,0.9390428513288498,0.007090296596288681,0.002909703403711319,fcn,500,0.0,0.001907499274238944,57.07861328125,0.980742335319519,0.5603058338165283,0.5602576732635498,data_fcn_n500,500,7.4364182999997865,1.0
0.003204361069947481,0.0699705183506012,0.9300294816493988,0.011776219122111797,0.0017762191221117971,fcn,5000,0.0,0.00406727846711874,57.84912109375,0.9843966960906982,0.3589250147342682,0.3554851710796356,data_fcn_n5000,500,7.4431742999877315,1.0
3.165891939715948e-06,0.4926188290119171,0.5073811709880829,0.0019030107650905848,0.008096989234909415,fourier,2500,0.0,9.589266483089887e-06,80.4482421875,1.0019118785858154,1.0002899169921875,1.0008277893066406,data_fourier_n2500,500,12.097610400000121,1.0
4.680450729210861e-06,0.4927794337272644,0.5072205662727356,0.001761481980793178,0.008238518019206822,fourier,500,0.0,1.1376121619832702e-05,78.994140625,1.0005327463150024,1.0006725788116455,1.0019700527191162,data_fourier_n500,500,12.617676099995151,1.0
3.011827629961772e-06,0.49233704805374146,0.5076629519462585,0.0020085813011974096,0.00799141869880259,fourier,5000,0.0,9.498244253336452e-06,80.505859375,1.0015028715133667,1.0000048875808716,1.0001616477966309,data_fourier_n5000,500,13.141086000017822,1.0
0.000301757623674348,0.14001910388469696,0.859980896115303,-0.00029007295961491764,0.010290072959614918,residual,2500,0.0,0.000751161016523838,57.79150390625,0.8524743318557739,0.13682694733142853,0.13744503259658813,data_residual_n2500,500,7.321099599997979,1.0
0.00034449290251359344,0.1355561912059784,0.8644438087940216,-7.049481064314023e-05,0.01007049481064314,residual,500,0.0,0.0008074643556028605,57.07861328125,0.8544884324073792,0.14015358686447144,0.13619962334632874,data_residual_n500,500,7.463115499995183,1.0
