step,loss,data_loss,pde_loss,continuity_loss,lambda_1,lambda_2,pde_warmup
1,0.3886021375656128,0.3883345127105713,0.05215395987033844,0.0013736134860664606,0.4999999701976776,0.019999997690320015,0.005
250,0.011094647459685802,0.007378439884632826,0.002279427833855152,0.0014367802068591118,0.5498040318489075,0.016930989921092987,1.0
500,0.005319691263139248,0.0031438730657100677,0.0013264183653518558,0.0008493995992466807,0.6686709523200989,0.015584493987262249,1.0
750,0.0024934858083724976,0.0013420766917988658,0.0007608582964166999,0.0003905508201569319,0.7725001573562622,0.014414659701287746,1.0
1000,0.0011128900805488229,0.00047652891953475773,0.00045678362948819995,0.00017957747331820428,0.8545361757278442,0.01346509624272585,1.0
1250,0.002079039579257369,0.0007864581421017647,0.001042637974023819,0.0002499435213394463,0.9128277897834778,0.012798566371202469,1.0
1500,0.0006754999049007893,0.00022982095833867788,0.0003968224045820534,4.885652015218511e-05,0.9512543082237244,0.012329771183431149,1.0
1750,0.0003540825564414263,0.00021179075702093542,0.00011266341607552022,2.9628408810822293e-05,0.973464846611023,0.011952914297580719,1.0
2000,0.0001724035682855174,4.974627518095076e-05,8.730244007892907e-05,3.5354856663616374e-05,0.9858002662658691,0.011653091758489609,1.0
2250,0.00012240379874128848,3.347928213770501e-05,7.073217420838773e-05,1.8192336938227527e-05,0.9916696548461914,0.011385926976799965,1.0
2500,0.0020473632030189037,0.0006483279285021126,0.0013471669517457485,5.1868311857106164e-05,0.9946807026863098,0.01116972416639328,1.0
2750,0.000271766068181023,7.858812750782818e-05,0.00017705903155729175,1.6118896382977255e-05,0.9961946606636047,0.010971841402351856,1.0
3000,0.00014865056436974555,8.394887845497578e-05,5.241865437710658e-05,1.2283026080694981e-05,0.9964219331741333,0.010796789079904556,1.0
