step,loss,data_loss,pde_loss,continuity_loss,lambda_1,lambda_2,pde_warmup
1,0.31845176219940186,0.31845128536224365,9.730816236697137e-05,9.983555173675995e-07,0.4999999701976776,0.019999997690320015,0.005
250,0.09107951074838638,0.07626324892044067,0.013555876910686493,0.001260383054614067,0.38754338026046753,0.014912654645740986,1.0
500,0.03888687118887901,0.030256815254688263,0.007925831712782383,0.0007042250363156199,0.350989431142807,0.01284167543053627,1.0
750,0.022577228024601936,0.016909845173358917,0.004032334312796593,0.0016350483056157827,0.41238024830818176,0.011228040792047977,1.0
1000,0.01603638008236885,0.011500976048409939,0.00244916882365942,0.002086235675960779,0.48753082752227783,0.010898295789957047,1.0
1250,0.012420703656971455,0.00842504296451807,0.002152855973690748,0.0018428054172545671,0.5712634325027466,0.010493217967450619,1.0
1500,0.010937199927866459,0.007242036983370781,0.002336041070520878,0.0013591215247288346,0.6549672484397888,0.009991967119276524,1.0
1750,0.007681131828576326,0.005418602377176285,0.0014179956633597612,0.0008445339044556022,0.7325749397277832,0.009535807184875011,1.0
2000,0.009271519258618355,0.006034519523382187,0.0020528731402009726,0.0011841258965432644,0.8006618022918701,0.009183719754219055,1.0
2250,0.005985307972878218,0.0044427309185266495,0.0010667515452951193,0.000475825450848788,0.8567267656326294,0.008934575133025646,1.0
2500,0.0057430993765592575,0.004084927961230278,0.0012252083979547024,0.0004329629591666162,0.90048748254776,0.00877748429775238,1.0
2750,0.005995542276650667,0.0041937921196222305,0.001298890681937337,0.0005028595915064216,0.9329791069030762,0.008669670671224594,1.0
3000,0.005406624171882868,0.0040164487436413765,0.0011787915136665106,0.0002113836962962523,0.9559626579284668,0.008586076088249683,1.0
