step,loss,data_loss,pde_loss,continuity_loss
1,0.19121162593364716,0.19121162593364716,0.0,0.0
250,3.042210119019728e-05,3.042210119019728e-05,0.0,0.0
500,8.044760761549696e-06,8.044760761549696e-06,0.0,0.0
750,3.970452780777123e-06,3.970452780777123e-06,0.0,0.0
1000,2.058181053143926e-06,2.058181053143926e-06,0.0,0.0
1250,6.173128895170521e-06,6.173128895170521e-06,0.0,0.0
1500,1.798542371034273e-06,1.798542371034273e-06,0.0,0.0
1750,4.1311734094051644e-05,4.1311734094051644e-05,0.0,0.0
2000,3.1089170988707338e-06,3.1089170988707338e-06,0.0,0.0
2250,8.899103704607114e-06,8.899103704607114e-06,0.0,0.0
2500,2.1097182525409153e-06,2.1097182525409153e-06,0.0,0.0
2750,1.5595809372825897e-06,1.5595809372825897e-06,0.0,0.0
3000,8.399410944548436e-07,8.399410944548436e-07,0.0,0.0
