step,loss,data_loss,pde_loss,continuity_loss,lambda_1,lambda_2,pde_warmup
1,0.31686699390411377,0.31686651706695557,9.730816236697137e-05,9.983555173675995e-07,0.4999999701976776,0.019999997690320015,0.005
250,0.08960456401109695,0.07440870255231857,0.01467287540435791,0.00052298279479146,0.3889118432998657,0.014880749396979809,1.0
500,0.03474920243024826,0.02736648917198181,0.006868254393339157,0.0005144583410583436,0.35074734687805176,0.012565101496875286,1.0
750,0.019454609602689743,0.013760032132267952,0.0038513175677508116,0.0018432596698403358,0.4104461669921875,0.011116798967123032,1.0
1000,0.012846646830439568,0.008160877972841263,0.002822999143972993,0.0018627701792865992,0.48319393396377563,0.01107405498623848,1.0
1250,0.009354098699986935,0.0055440813302993774,0.0021209497936069965,0.001689067343249917,0.5636295080184937,0.010910344310104847,1.0
1500,0.0066474927589297295,0.003719793865457177,0.0017047603614628315,0.0012229381827637553,0.6447990536689758,0.010551388375461102,1.0
1750,0.005505319684743881,0.002995613729581237,0.0015628974651917815,0.0009468087228015065,0.7226183414459229,0.010243416763842106,1.0
2000,0.004181727301329374,0.0022286931052803993,0.0013010089751332998,0.000652025337330997,0.7930048704147339,0.010013356804847717,1.0
2250,0.003073872299864888,0.001536798314191401,0.0010365276830270886,0.0005005463026463985,0.8527713418006897,0.009863125160336494,1.0
2500,0.0017611855873838067,0.0007061815122142434,0.0006957728182896972,0.0003592312568798661,0.8998385071754456,0.009760875254869461,1.0
2750,0.001407157862558961,0.0005601481534540653,0.0005961582064628601,0.00025085147353820503,0.934502363204956,0.009692734107375145,1.0
3000,0.0013690970372408628,0.000528845761436969,0.0006321280379779637,0.00020812323782593012,0.9590524435043335,0.009621442295610905,1.0
