step,loss,data_loss,pde_loss,continuity_loss,lambda_1,lambda_2,pde_warmup
1,0.6940780878067017,0.5046011209487915,36.78656768798828,1.108820915222168,0.4999999701976776,0.019999997690320015,0.005
250,0.002065784065052867,0.0006426502950489521,0.0012964565539732575,0.0001266772160306573,0.5089276432991028,0.01878282241523266,1.0
500,0.0016815091948956251,0.00029311911202967167,0.001328654121607542,5.973598308628425e-05,0.5216556191444397,0.018599990755319595,1.0
750,0.0015301742823794484,0.00020707219664473087,0.0012571183033287525,6.59837678540498e-05,0.5321352481842041,0.018391162157058716,1.0
1000,0.0011073312489315867,0.000170501705724746,0.0008737855823710561,6.304393173195422e-05,0.5421204566955566,0.018214713782072067,1.0
1250,0.001262741512618959,0.0001514898322056979,0.0010534347966313362,5.781689105788246e-05,0.5520115494728088,0.0180363692343235,1.0
1500,0.001176339341327548,0.000164558514370583,0.0009184398222714663,9.334103378932923e-05,0.5616854429244995,0.017834117636084557,1.0
1750,0.000992948655039072,0.00011180304136360064,0.0008340870263054967,4.705860192188993e-05,0.5716153383255005,0.017619101330637932,1.0
2000,0.0005224579945206642,9.342167322756723e-05,0.0004043100052513182,2.472634514560923e-05,0.581104040145874,0.01738734543323517,1.0
2250,0.0003213183372281492,8.893327321857214e-05,0.0002138121344614774,1.8572922272142023e-05,0.5906544327735901,0.01711307279765606,1.0
2500,0.0005838102078996599,8.183905447367579e-05,0.0004691279318649322,3.284322883700952e-05,0.5998132228851318,0.016836293041706085,1.0
2750,0.00039903001743368804,8.270530088339001e-05,0.000275332888122648,4.099185025552288e-05,0.6089544892311096,0.016554906964302063,1.0
3000,0.0006042468012310565,8.867247379384935e-05,0.00046803546138107777,4.7538829676341265e-05,0.6177077293395996,0.016238365322351456,1.0
