step,loss,data_loss,pde_loss,continuity_loss,lambda_1,lambda_2,pde_warmup
1,0.320463627576828,0.3204631507396698,9.730816236697137e-05,9.983555173675995e-07,0.4999999701976776,0.019999997690320015,0.005
250,0.08547352999448776,0.07097804546356201,0.013901419937610626,0.0005940639530308545,0.38494813442230225,0.01465314906090498,1.0
500,0.04463306814432144,0.033167000859975815,0.010424332693219185,0.0010417317971587181,0.3382501006126404,0.012582540512084961,1.0
750,0.020537378266453743,0.015248593874275684,0.004186895675957203,0.0011018890654668212,0.3947366774082184,0.011445702984929085,1.0
1000,0.013578644022345543,0.008628811687231064,0.0029025692492723465,0.002047262853011489,0.4683067798614502,0.01115636806935072,1.0
1250,0.010427766479551792,0.005948551930487156,0.0024668031837791204,0.0020124108996242285,0.5459913015365601,0.01102353073656559,1.0
1500,0.006472102366387844,0.0036570450756698847,0.0015711832093074918,0.0012438739649951458,0.6264843344688416,0.010818433947861195,1.0
1750,0.007339487783610821,0.004236313980072737,0.001907615689560771,0.0011955585796386003,0.7060287594795227,0.010588168166577816,1.0
2000,0.0037561857607215643,0.0018374862847849727,0.0011688456870615482,0.0007498537306673825,0.7794587016105652,0.010366646572947502,1.0
2250,0.0026446240954101086,0.0012744860723614693,0.0009898863499984145,0.00038025155663490295,0.8421435356140137,0.010153950192034245,1.0
2500,0.0028900557663291693,0.0013820590684190392,0.0011661911848932505,0.00034180539660155773,0.8908621072769165,0.009950410574674606,1.0
2750,0.0013629868626594543,0.0005202488973736763,0.0005666225915774703,0.00027611543191596866,0.9259899854660034,0.009762343019247055,1.0
3000,0.000939235498663038,0.0003487832145765424,0.00044849180267192423,0.00014196049596648663,0.9498281478881836,0.009578564204275608,1.0
