step,loss,data_loss,pde_loss,continuity_loss,lambda_1,lambda_2,pde_warmup
1,0.7124854922294617,0.5230085253715515,36.78656768798828,1.108820915222168,0.4999999701976776,0.019999997690320015,0.005
250,0.002509109675884247,0.0005551769281737506,0.0018668101401999593,8.712268754607067e-05,0.5098211765289307,0.018787378445267677,1.0
500,0.0006343801505863667,0.00023873754253145307,0.0003686231793835759,2.7019403205486014e-05,0.5243412256240845,0.01860705204308033,1.0
750,0.0010587582364678383,0.0001966039271792397,0.0008205629419535398,4.159130548941903e-05,0.5363087058067322,0.018416834995150566,1.0
1000,0.0004955106996931136,0.0001513884199084714,0.0003204801178071648,2.364214014960453e-05,0.5480589270591736,0.01819845475256443,1.0
1250,0.0006171157583594322,0.00011200193694094196,0.0004757987626362592,2.9315089705050923e-05,0.5588621497154236,0.0180116668343544,1.0
1500,0.0013521922519430518,0.0001339027949143201,0.0011237302096560597,9.455922554479912e-05,0.5696567296981812,0.01782156527042389,1.0
1750,0.00046666146954521537,9.159214096143842e-05,0.0003508776135277003,2.4191718694055453e-05,0.5799813270568848,0.017634380608797073,1.0
2000,0.0007379187154583633,8.472574700135738e-05,0.0006126795196905732,4.0513485146220773e-05,0.5898023843765259,0.017456918954849243,1.0
2250,0.0005047317245043814,7.67153687775135e-05,0.0003920624149031937,3.595391899580136e-05,0.5996588468551636,0.017247585579752922,1.0
2500,0.0007118101348169148,8.010838064365089e-05,0.0005701878690160811,6.151391426101327e-05,0.6091339588165283,0.017029577866196632,1.0
2750,0.0008987301262095571,7.726237527094781e-05,0.0007133305771276355,0.00010813713015522808,0.6184878349304199,0.016767410561442375,1.0
3000,0.00045871082693338394,6.566877709701657e-05,0.0003596607712097466,3.3381285902578384e-05,0.6274372935295105,0.016492828726768494,1.0
