step,loss,data_loss,pde_loss,continuity_loss,lambda_1,lambda_2,pde_warmup
1,0.7116661071777344,0.5226246118545532,36.64680862426758,1.1614941358566284,0.4999999701976776,0.019999997690320015,0.005
250,0.0007350916275754571,0.00040503544732928276,0.00028206181013956666,4.7994344640756026e-05,0.5072937607765198,0.01874649152159691,1.0
500,0.002392916940152645,0.00033121174783445895,0.0019454581197351217,0.00011624688340816647,0.5221920609474182,0.01851525902748108,1.0
750,0.0011127182515338063,0.0001866630045697093,0.0008753498550504446,5.070536644780077e-05,0.5371803641319275,0.018317576497793198,1.0
1000,0.0014548199251294136,0.00019237081869505346,0.0011704389471560717,9.201017383020371e-05,0.5516791343688965,0.01814637891948223,1.0
1250,0.0005161833832971752,0.00013176760694477707,0.0003569105174392462,2.750526982708834e-05,0.5658059120178223,0.01797148585319519,1.0
1500,0.0012551285326480865,0.00013322416634764522,0.0010197596857324243,0.00010214462236035615,0.5798308253288269,0.01777271181344986,1.0
1750,0.0009086892241612077,0.00010772984387585893,0.000726602622307837,7.435675797751173e-05,0.5940440893173218,0.01754378341138363,1.0
2000,0.0006117801531217992,9.189222328132018e-05,0.00048346491530537605,3.642304000095464e-05,0.6078813076019287,0.017301514744758606,1.0
2250,0.0005780382780358195,8.938639075495303e-05,0.00044041083310730755,4.8241061449516565e-05,0.6217449903488159,0.017012009397149086,1.0
2500,0.0007902834331616759,8.25005117803812e-05,0.0006248427089303732,8.294024155475199e-05,0.6353439092636108,0.01667076162993908,1.0
2750,0.0008302839123643935,7.535239274147898e-05,0.0006520592723973095,0.00010287227632943541,0.648512601852417,0.01633915863931179,1.0
3000,0.0007128558354452252,8.063023415161297e-05,0.0005494611104950309,8.2764498074539e-05,0.661441445350647,0.015912910923361778,1.0
