step,loss,data_loss,pde_loss,continuity_loss,lambda_1,lambda_2,pde_warmup
1,0.38238605856895447,0.38211843371391296,0.05215395987033844,0.0013736134860664606,0.4999999701976776,0.019999997690320015,0.005
250,0.01157401129603386,0.007468890864402056,0.0024496703408658504,0.0016554499743506312,0.5499683618545532,0.01703689806163311,1.0
500,0.006371056195348501,0.0038449421990662813,0.0016601859824731946,0.0008659280138090253,0.6682296395301819,0.01580491103231907,1.0
750,0.003927453421056271,0.002447145525366068,0.0010789470979943871,0.00040136088500730693,0.7707293033599854,0.014658664353191853,1.0
1000,0.001624857890419662,0.0011866979766637087,0.0002774943714030087,0.00016066557145677507,0.8533483147621155,0.013706527650356293,1.0
1250,0.0014924485003575683,0.0010533661115914583,0.0002957240794785321,0.00014335839659906924,0.9124345183372498,0.013006393797695637,1.0
1500,0.0010126079432666302,0.000830167206004262,0.00013535303878597915,4.708769847638905e-05,0.9512836933135986,0.01246373075991869,1.0
1750,0.0012681509833782911,0.0009119253954850137,0.0003181814099662006,3.8044141547288746e-05,0.9734997749328613,0.012023583985865116,1.0
2000,0.001187836634926498,0.0010029764380306005,0.0001538283540867269,3.103181370534003e-05,0.9862804412841797,0.011643875390291214,1.0
2250,0.0013916748575866222,0.000977489398792386,0.0003886599442921579,2.5525416276650503e-05,0.9924421310424805,0.01130739040672779,1.0
2500,0.0012433887459337711,0.000894894590601325,0.0003171255812048912,3.136851955787279e-05,0.9956449866294861,0.011014663614332676,1.0
2750,0.0012722221435979009,0.0008985528256744146,0.0003573390422388911,1.6330268408637494e-05,0.996882438659668,0.010747411288321018,1.0
3000,0.0010216963710263371,0.0008517451351508498,0.00015598730533383787,1.396391962771304e-05,0.9975422024726868,0.010531343519687653,1.0
